iter	Passed	Remaining
0	110	110478
1	112	56132
2	114	37900
3	115	28781
4	117	23293
5	118	19608
6	119	16954
7	120	14967
8	122	13457
9	123	12238
10	124	11226
11	125	10373
12	127	9658
13	128	9069
14	130	8560
15	131	8105
16	133	7699
17	134	7338
18	137	7101
19	139	6819
20	140	6561
21	142	6328
22	144	6122
23	145	5921
24	146	5730
25	148	5552
26	149	5397
27	151	5260
28	153	5126
29	154	4993
30	155	4863
31	157	4753
32	158	4651
33	160	4549
34	161	4451
35	162	4361
36	164	4287
37	166	4209
38	167	4128
39	168	4049
40	169	3975
41	171	3920
42	173	3855
43	174	3788
44	175	3724
45	176	3666
46	178	3614
47	179	3561
48	180	3510
49	182	3460
50	183	3410
51	184	3369
52	186	3330
53	187	3292
54	189	3253
55	190	3214
56	192	3183
57	193	3148
58	195	3114
59	196	3083
60	198	3053
61	200	3026
62	201	2993
63	202	2964
64	203	2933
65	205	2902
66	206	2877
67	208	2851
68	209	2822
69	210	2793
70	211	2765
71	212	2739
72	213	2717
73	215	2695
74	216	2671
75	217	2647
76	218	2624
77	219	2600
78	221	2582
79	222	2562
80	223	2541
81	225	2521
82	225	2494
83	226	2473
84	228	2457
85	229	2442
86	231	2424
87	232	2405
88	233	2388
89	234	2370
90	235	2356
91	237	2341
92	238	2325
93	239	2309
94	240	2293
95	241	2277
96	243	2265
97	244	2252
98	245	2238
99	247	2223
100	248	2209
101	249	2195
102	251	2187
103	252	2174
104	253	2161
105	254	2147
106	255	2134
107	256	2122
108	258	2112
109	259	2100
110	260	2088
111	261	2075
112	262	2062
113	263	2050
114	265	2039
115	266	2029
116	267	2017
117	268	2006
118	269	1996
119	270	1985
120	271	1974
121	272	1964
122	274	1957
123	275	1947
124	276	1938
125	278	1928
126	279	1917
127	280	1911
128	282	1905
129	283	1897
130	284	1888
131	285	1879
132	286	1869
133	288	1862
134	289	1854
135	290	1846
136	292	1840
137	293	1832
138	294	1826
139	296	1818
140	297	1810
141	297	1799
142	298	1790
143	299	1781
144	300	1773
145	301	1765
146	303	1758
147	304	1751
148	305	1743
149	306	1735
150	307	1726
151	308	1719
152	309	1711
153	310	1705
154	311	1697
155	312	1690
156	313	1682
157	314	1675
158	315	1668
159	316	1660
160	317	1653
161	318	1647
162	319	1640
163	320	1633
164	321	1625
165	322	1619
166	323	1612
167	324	1606
168	325	1601
169	326	1595
170	327	1588
171	328	1582
172	329	1575
173	330	1569
174	331	1563
175	332	1558
176	333	1552
177	334	1546
178	335	1540
179	336	1534
180	337	1528
181	338	1523
182	340	1519
183	341	1514
184	342	1508
185	343	1502
186	344	1496
187	345	1491
188	346	1486
189	347	1482
190	348	1476
191	349	1471
192	350	1466
193	351	1460
194	352	1455
195	353	1450
196	354	1446
197	356	1442
198	357	1437
199	358	1432
200	359	1428
201	360	1423
202	361	1419
203	362	1415
204	364	1412
205	365	1409
206	366	1405
207	367	1401
208	369	1397
209	370	1394
210	371	1390
211	372	1386
212	374	1382
213	375	1377
214	376	1373
215	377	1370
216	378	1365
217	379	1361
218	380	1356
219	381	1352
220	382	1347
221	383	1343
222	384	1339
223	385	1335
224	386	1331
225	387	1328
226	388	1324
227	389	1319
228	390	1315
229	392	1312
230	393	1309
231	394	1305
232	395	1301
233	396	1297
234	397	1292
235	398	1288
236	399	1285
237	400	1281
238	401	1277
239	402	1273
240	403	1269
241	404	1266
242	405	1262
243	406	1258
244	407	1256
245	408	1252
246	409	1248
247	410	1244
248	411	1240
249	412	1237
250	413	1233
251	414	1231
252	415	1227
253	416	1223
254	417	1220
255	418	1216
256	419	1212
257	420	1209
258	421	1207
259	423	1204
260	424	1201
261	425	1198
262	426	1194
263	427	1191
264	428	1188
265	429	1185
266	430	1181
267	431	1178
268	432	1175
269	433	1171
270	434	1168
271	435	1165
272	436	1163
273	437	1160
274	438	1156
275	439	1153
276	440	1150
277	441	1147
278	442	1144
279	444	1141
280	445	1139
281	446	1136
282	447	1133
283	448	1130
284	449	1126
285	450	1123
286	451	1121
287	452	1118
288	453	1115
289	454	1112
290	455	1109
291	456	1106
292	457	1103
293	458	1101
294	459	1099
295	460	1096
296	461	1093
297	462	1090
298	463	1087
299	464	1084
300	465	1082
301	467	1079
302	468	1076
303	469	1073
304	470	1071
305	471	1068
306	471	1065
307	473	1063
308	474	1060
309	475	1058
310	476	1055
311	477	1052
312	478	1049
313	479	1046
314	480	1044
315	481	1042
316	482	1039
317	483	1037
318	485	1035
319	486	1032
320	486	1030
321	488	1027
322	489	1025
323	490	1023
324	491	1020
325	492	1017
326	493	1015
327	494	1012
328	495	1010
329	496	1008
330	497	1005
331	498	1003
332	499	1000
333	500	998
334	501	995
335	502	992
336	503	990
337	504	988
338	505	985
339	506	983
340	507	980
341	508	978
342	509	975
343	510	973
344	511	971
345	512	969
346	513	966
347	514	964
348	515	961
349	516	959
350	517	956
351	518	955
352	519	952
353	520	950
354	521	947
355	522	945
356	523	943
357	524	940
358	525	939
359	527	936
360	528	934
361	529	932
362	529	929
363	530	927
364	531	925
365	533	923
366	534	921
367	535	919
368	536	917
369	537	915
370	538	913
371	539	911
372	541	909
373	542	907
374	543	905
375	544	903
376	545	900
377	545	898
378	546	896
379	548	894
380	549	892
381	550	890
382	551	888
383	552	885
384	553	883
385	554	881
386	555	879
387	556	877
388	557	875
389	558	873
390	559	871
391	560	868
392	561	866
393	562	865
394	563	863
395	564	861
396	565	859
397	566	857
398	567	854
399	568	852
400	569	850
401	570	849
402	571	847
403	573	845
404	574	843
405	575	841
406	576	839
407	577	837
408	578	835
409	579	833
410	580	831
411	581	829
412	582	827
413	583	825
414	584	823
415	585	822
416	586	820
417	587	818
418	588	816
419	589	814
420	590	812
421	591	810
422	592	808
423	593	806
424	594	804
425	595	802
426	596	800
427	597	798
428	598	796
429	600	795
430	601	793
431	602	791
432	603	789
433	604	787
434	604	785
435	605	783
436	607	782
437	608	780
438	609	778
439	610	776
440	610	774
441	611	772
442	612	770
443	614	768
444	615	767
445	616	765
446	617	763
447	618	761
448	619	759
449	620	757
450	621	756
451	622	754
452	623	752
453	624	750
454	625	748
455	626	747
456	627	745
457	628	743
458	629	741
459	630	740
460	631	738
461	632	736
462	633	734
463	634	732
464	635	730
465	636	729
466	637	727
467	638	725
468	639	724
469	640	722
470	641	720
471	642	718
472	643	716
473	644	715
474	645	713
475	646	711
476	647	710
477	648	708
478	649	706
479	650	704
480	651	703
481	653	701
482	653	700
483	654	698
484	655	696
485	656	694
486	657	692
487	659	691
488	660	690
489	661	688
490	662	686
491	663	684
492	664	683
493	665	681
494	666	679
495	667	678
496	668	676
497	669	674
498	670	673
499	671	671
500	672	670
501	673	668
502	675	667
503	676	665
504	677	663
505	677	661
506	678	660
507	679	658
508	680	656
509	682	655
510	683	653
511	684	652
512	685	650
513	686	648
514	687	647
515	688	645
516	689	644
517	690	642
518	691	641
519	693	639
520	694	638
521	695	637
522	696	635
523	697	633
524	698	631
525	699	630
526	700	628
527	701	627
528	702	625
529	703	623
530	704	622
531	705	620
532	706	619
533	707	617
534	708	615
535	709	614
536	710	612
537	711	611
538	712	609
539	713	608
540	714	606
541	715	604
542	717	603
543	718	602
544	719	600
545	720	599
546	721	597
547	722	596
548	724	595
549	725	593
550	727	592
551	728	590
552	729	589
553	730	587
554	731	586
555	732	584
556	733	583
557	734	581
558	735	580
559	736	578
560	737	576
561	738	575
562	739	573
563	740	572
564	741	570
565	742	569
566	743	567
567	744	566
568	745	564
569	746	563
570	747	561
571	748	560
572	749	558
573	750	557
574	751	555
575	752	554
576	753	552
577	755	551
578	756	549
579	757	548
580	758	546
581	759	545
582	759	543
583	761	542
584	762	541
585	763	539
586	765	538
587	766	537
588	768	536
589	770	535
590	771	533
591	772	532
592	774	531
593	775	530
594	777	529
595	778	527
596	779	526
597	781	525
598	782	523
599	784	522
600	785	521
601	786	520
602	788	518
603	789	517
604	790	516
605	792	515
606	793	513
607	795	512
608	796	511
609	797	509
610	798	508
611	800	507
612	801	505
613	802	504
614	803	503
615	805	501
616	806	500
617	807	499
618	809	498
619	810	496
620	811	495
621	812	494
622	814	492
623	815	491
624	817	490
625	818	488
626	819	487
627	820	486
628	822	484
629	823	483
630	824	482
631	825	480
632	826	479
633	828	478
634	829	476
635	830	475
636	831	473
637	832	472
638	833	471
639	835	469
640	836	468
641	837	467
642	839	465
643	840	464
644	841	463
645	843	461
646	844	460
647	845	459
648	846	458
649	848	456
650	849	455
651	850	453
652	852	453
653	853	451
654	854	450
655	856	448
656	857	447
657	858	446
658	859	444
659	861	443
660	862	442
661	864	441
662	866	440
663	867	438
664	868	437
665	869	436
666	871	434
667	872	433
668	873	432
669	875	431
670	876	429
